Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
EDI/API,Call,Yes,1/24/2025 16:43,Call TCK-747973 | EDI Parsing Issue on ANSI X12 315 (translator quarantine) | Issue: ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: YYYY-MM-DD. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: YYYY-MM-DD. All numeric identifiers are randomized placeholders; no credentials stored.,Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.,
EDI/API,Call,Yes,6/18/2025 15:54,"Call TCK-313256 | EDI/API Data Mismatch on OOCL2335649 at PSA Tanjong Pagar | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container OOCL2335649 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-19W6JHTN not impacted operationally but customer view inconsistent. Context tokens: SINGAPORE. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container OOCL2335649 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-19W6JHTN not impacted operationally but customer view inconsistent. Context tokens: SINGAPORE. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
EDI/API,Email,Yes,8/7/2025 3:29,"Subject: Email INC-195573 | EDI/API Data Mismatch on CMAU8766540 at Pasir Panjang Terminal 2

Dear Team,

Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container CMAU8766540 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-KLAZQINV not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container CMAU8766540 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-KLAZQINV not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
EDI/API,SMS,No,8/31/2025 13:49,Alert: SMS ALR-540793 | Issue: Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Part. Please check immediately.,"Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-C reported delayed acknowledgements; Tuas Port ops not impacted. Context tokens: ERROR, CODECO. All numeric identifiers are randomized placeholders; no credentials stored.",Scaled consumers and rebalanced partitions; drained DLQ with rate control; enabled poison-message quarantine and added SLO alerting. Communications used masked ticket references where applicable.,
Container Booking,SMS,No,5/13/2025 11:46,Alert: SMS ALR-804314 | Issue: Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Cus. Please check immediately.,Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Keppel; booking BK-DRC11ERT.,Mismatched shipment party codes for HLCU7575030. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Keppel; booking BK-DRC11ERT.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage QS19); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,
EDI/API,SMS,Yes,7/25/2025 3:55,Alert: SMS ALR-613158 | Issue: Field mapping mismatch across systems for container MAEU9006195. Partner Partner-A posted ANSI X12 3. Please check immediately.,"Field mapping mismatch across systems for container MAEU9006195. Partner Partner-A posted ANSI X12 315 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Tuas Port. Booking BK-YEW2I334 shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: FYI. All numeric identifiers are randomized placeholders; no credentials stored.",Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable.,
Container Report,Email,Yes,8/6/2025 14:23,"Subject: Email ALR-550089 | Container MSCU3047419 exception reported at PSA Tanjong Pagar

Dear Team,

Duplicate ANSI X12 315 received with conflicting eventTime for MSCU3047419. Later message had older timestamp; last-writer-wins regressed status.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Duplicate ANSI X12 315 received with conflicting eventTime for MSCU3047419. Later message had older timestamp; last-writer-wins regressed status.,Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies.,
Vessel,Call,Yes,8/12/2025 11:28,"Call ALR-472834 | Vessel MV TITAN CREST/19E exception at PSA Tanjong Pagar | Issue: ANSI X12 315 inconsistency for MV TITAN CREST/19E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ANSI X12 315 inconsistency for MV TITAN CREST/19E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: ANSI X12 315 inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER
Vessel,Email,No,3/30/2025 21:30,"Subject: Email TCK-467350 | Vessel MV CORAL WAVE/105N exception at PSA Tanjong Pagar

Dear Team,

ETA/ETB mismatch for MV CORAL WAVE (IMO 3427522, CS-52OJA) on voyage 105N. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ETA/ETB mismatch for MV CORAL WAVE (IMO 3427522, CS-52OJA) on voyage 105N. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on VOYAGE_ID 
Container Report,SMS,Yes,3/31/2025 2:54,Alert: SMS ALR-992288 | Issue: Duplicate ANSI X12 214 received with conflicting eventTime for EMCU4728808. Later message had older . Please check immediately.,Duplicate ANSI X12 214 received with conflicting eventTime for EMCU4728808. Later message had older timestamp; last-writer-wins regressed status.,Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies.,CNTR: Duplicate ANSI X12 214 received with conflicting 
Vessel,SMS,Yes,2/6/2025 19:33,"Alert: SMS INC-298781 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 8965197, CS-5IQN5) on voyage 19E. Berth plan shows ETB at. Please check immediately.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 8965197, CS-5IQN5) on voyage 19E. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Container Booking,Call,No,4/13/2025 4:24,"Call INC-153035 | Container EITU4714044 exception reported at Tuas Port | Issue: Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang.","Discrepancy between customer portal and TOS for container EITU4714044 on voyage BT21. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QIN9N6XC and seal S5520-GE4 included (randomized placeholders). Yard crane YC26 handled the last move at PSA Pasir Panjang.': Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage BT21); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.",
